ids,CLSZ_0.4,CLID_0.4
25181377,11,1
9795907,11,1
25181383,11,1
25181376,11,1
647821,11,1
9839953,11,1
25181379,11,1
25181372,11,1
798725,11,1
25181382,11,1
25181375,11,1
135500895,3,7
135470621,3,7
135512424,3,7
2790671,3,8
2790634,3,8
2790650,3,8
3653881,3,9
1350609,3,9
3119666,3,9
939236,3,21
943158,3,21
6409922,3,21
25181366,1,13
2118097,1,15
3698,1,16
2557762,1,18
5310645,1,19
16017377,1,20
4876538,1,22
903329,1,23
2488340,1,25
3711253,1,26
2999671,1,27
135491645,1,28
16023227,1,29
1598875,1,30
2384301,1,33
135401250,1,35
135482423,1,38
